combined_fips,total_votes_2016,Clinton,FIPS,total_votes_2012,county_fips,state_fips,fips_x,population2014,population2010,population_change,population_2010,kids_percent_2014,teenagers_percent_2014,age65plus,female,Black,native,asian,hawaii,biracial,Hispanic,stable_house,foreign_born,NonEnglish,Edu_highschool,Edu_batchelors,veteran,commute,housing_units,homeownership,housing_units_multi,house_value,house_number,house_persons,Income,house_income,Poverty,private_establishments,private_employment,employment_change,nonemployer_establishments,firms_owned,firms_owned_black,firms_owned_native,firms_owned_asian,firms_owned_hawaii,firms_owned_hispanic,firms_owned_female,manufacturers_shipments,merchant_sales,retail_sales,retail_sales_per_capita,hotel_food_sales,building_permits,land_area,Density,Trump_Romney,fips_y,lat,lng
1001,24661,0.0,1001,23909,1001,1,1001,55395,54571,1.5,54571,6.0,25.2,13.8,51.4,0.187,0.5,1.1,0.1,1.8,0.027000000000000003,85.0,1.6,3.5,85.6,20.9,5922,26.2,22751,76.8,8.3,136200,20071,2.71,24571,53682,12.1,817,10120,2.1,2947,4067,15.2,0.0,1.3,0.0,0.7,31.7,0,0,598175,12003,88157,131,594.44,91.8,0.008020530530002509,1001,32.5791817,-86.49965460000001
1003,94090,0.0,1003,84988,1003,1,1003,200111,182265,9.8,182265,5.6,22.2,18.7,51.2,0.096,0.7,0.9,0.1,1.6,0.046,82.1,3.6,5.5,89.1,27.7,19346,25.9,107374,72.6,24.4,168600,73283,2.52,26766,50221,13.9,4871,54988,3.7,16508,19035,2.7,0.4,1.0,0.0,1.3,27.3,1410273,0,2966489,17166,436955,1384,1589.78,114.6,-0.000382771461567066,1003,30.6010744,-87.77633329999998
1005,10390,0.0,1005,11459,1005,1,1005,26887,27457,-2.1,27457,5.7,21.2,16.5,46.6,0.47600000000000003,0.6,0.5,0.2,0.9,0.045,84.8,2.9,5.0,73.7,13.4,2120,24.6,11799,67.7,10.6,89200,9200,2.66,16829,32911,26.7,464,6611,-5.6,1546,1667,0.0,0.0,0.0,0.0,0.0,27.0,0,0,188337,6334,0,8,884.88,31.0,0.0393386355219987,1005,31.817289600000002,-85.35496499999998
1007,8748,0.0,1007,8391,1007,1,1007,22506,22919,-1.8,22915,5.3,21.0,14.8,45.9,0.221,0.4,0.2,0.1,0.9,0.021,86.6,1.2,2.1,77.5,12.1,1327,27.6,8978,79.0,7.3,90500,7091,3.03,17427,36447,18.1,275,3145,7.5,1126,1385,14.9,0.0,0.0,0.0,0.0,0.0,0,0,124707,5804,10757,19,622.58,36.8,0.0389978304862859,1007,32.786573499999996,-83.7199136
1009,25384,0.0,1009,23980,1009,1,1009,57719,57322,0.7,57322,6.1,23.6,17.0,50.5,0.018000000000000002,0.6,0.3,0.1,1.2,0.087,88.7,4.3,7.3,77.0,12.1,4540,33.9,23826,81.0,4.5,117100,21108,2.7,20730,44145,15.8,660,6798,3.4,3563,4458,0.0,0.0,0.0,0.0,0.0,23.2,341544,0,319700,5622,20941,3,644.78,88.9,0.0335896443800867,1009,35.6710541,-83.8473015
1011,4701,1.0,1011,5318,1011,1,1011,10764,10915,-1.4,10914,6.3,21.4,14.9,45.3,0.701,0.8,0.3,0.7,1.1,0.075,84.7,5.4,5.2,67.8,12.5,636,26.9,4461,74.3,8.7,70600,3741,2.73,18628,32033,21.6,112,0,0.0,470,417,0.0,0.0,0.0,0.0,0.0,38.8,0,0,43810,3995,3670,1,622.81,17.5,0.00723810374098027,1011,32.0573536,-85.7256372
1013,8685,0.0,1013,9483,1013,1,1013,20296,20946,-3.1,20947,6.1,23.6,18.0,53.6,0.44,0.4,0.9,0.0,0.8,0.012,94.6,0.8,1.7,76.3,14.0,1497,24.0,9916,70.3,13.3,74700,8235,2.47,17403,29918,28.4,393,5711,2.7,1095,1769,0.0,0.0,3.3,0.0,0.0,0.0,399132,56712,229277,11326,28427,2,776.83,27.0,0.0273539578232623,1013,39.440463,-84.5222189
1015,47376,0.0,1015,46240,1015,1,1015,115916,118586,-2.3,118572,5.7,22.2,16.0,51.8,0.21100000000000002,0.5,0.9,0.1,1.7,0.035,83.6,2.4,4.5,78.6,16.1,11385,22.5,53289,68.7,13.8,100600,45196,2.54,20828,39962,21.9,2311,34871,0.6,6352,8713,7.2,0.0,1.6,0.0,0.5,24.7,2679991,0,1542981,13678,186533,114,605.87,195.7,0.0377257139818797,1015,42.2073905,-85.02334599999998
1017,13778,0.0,1017,14562,1017,1,1017,34076,34170,-0.3,34215,5.9,21.4,18.3,52.3,0.395,0.3,0.8,0.1,1.1,0.02,85.8,1.1,1.3,75.1,11.8,2691,24.6,16894,67.9,11.1,81200,13722,2.46,19291,32402,24.1,515,6431,-0.2,2354,1981,0.0,0.0,0.0,0.0,0.0,29.3,667283,0,264650,7620,23237,8,596.53,57.4,0.0447059957105441,1017,29.7524956,-94.68637820000001
1019,10503,0.0,1019,9761,1019,1,1019,26037,25986,0.2,25989,4.8,20.4,20.9,50.2,0.046,0.5,0.3,0.0,1.6,0.015,90.6,0.7,1.1,78.3,12.8,2174,26.9,16241,76.1,4.6,99400,11656,2.2,22030,34907,21.2,379,3864,5.5,1560,2180,0.0,0.0,0.0,0.0,0.0,14.5,307439,62293,186321,7613,13948,2,553.7,46.9,0.0709635427144827,1019,34.2514526,-84.4802606
1021,18255,0.0,1021,17434,1021,1,1021,43931,43631,0.7,43643,6.4,24.2,15.2,50.8,0.106,0.5,0.4,0.2,1.2,0.077,88.8,5.2,7.4,76.0,12.9,3308,31.8,19221,74.5,4.1,102600,16232,2.67,20701,41250,19.5,703,7396,8.8,2719,0,0.0,0.0,0.0,0.0,0.0,0.0,0,155139,359910,8496,34073,78,692.85,63.0,0.0275514553977599,1021,32.944392,-86.6611083
1023,7268,0.0,1023,7965,1023,1,1023,13323,13858,-3.9,13859,4.9,20.6,20.8,52.5,0.424,0.2,0.3,0.0,0.5,0.008,91.4,0.3,1.3,75.2,11.8,938,33.4,7231,83.7,4.0,58200,5518,2.45,20323,33941,21.5,255,2900,1.4,809,1102,26.2,0.0,0.0,0.0,0.0,44.1,0,52904,84633,5969,11345,0,913.5,15.2,0.0433623506252071,1023,33.9851472,-95.5197394
1025,12936,0.0,1025,13827,1025,1,1025,24945,25840,-3.5,25833,5.6,22.6,18.0,52.8,0.442,0.4,0.5,0.0,0.8,0.013000000000000001,92.5,0.3,1.3,78.3,11.2,1583,25.5,12583,72.9,6.8,85600,9631,2.63,18979,29357,29.3,586,6648,3.7,1640,2374,0.0,0.0,0.0,0.0,0.0,28.6,571454,85803,344311,13034,23596,11,1238.47,20.9,0.00981055255688734,1025,33.9519347,-83.357567
1027,6572,0.0,1027,6640,1027,1,1027,13552,13932,-2.7,13932,5.3,21.6,19.4,50.6,0.145,0.6,0.3,0.0,1.8,0.034,88.3,2.2,3.3,76.5,9.2,1076,30.7,6736,75.0,10.0,79900,5649,2.38,18694,34002,19.0,190,2993,4.6,792,1005,0.0,0.0,0.0,0.0,0.0,0.0,330878,0,70558,5123,4352,0,603.96,23.1,0.0726075941012987,1027,29.9943564,-81.77870209999998
1029,6532,0.0,1029,6302,1029,1,1029,15080,14972,0.7,14972,5.7,23.3,18.4,50.4,0.036000000000000004,0.4,0.2,0.1,1.2,0.025,89.1,1.5,2.3,76.0,9.0,989,31.4,6690,77.6,6.3,100800,5601,2.64,19108,38019,18.4,152,1548,-4.8,930,1280,0.0,0.0,0.0,0.0,0.0,17.7,0,5888,133407,9080,4134,1,560.1,26.7,0.0423607976005829,1029,35.4605769,-92.0665197
1031,20513,0.0,1031,19715,1031,1,1031,50909,49948,1.9,49948,6.1,23.7,15.9,50.5,0.177,1.4,1.6,0.4,2.5,0.064,83.3,5.1,7.5,82.4,22.5,6066,21.3,22852,69.9,13.5,131000,18820,2.65,23380,43768,18.6,954,12762,0.3,2602,4032,6.0,0.0,1.3,0.0,0.7,29.3,613758,131594,639623,13665,50080,58,678.97,73.6,0.0289816547924632,1031,35.4576849,-86.05296039999998
1033,24626,0.0,1033,23374,1033,1,1033,54543,54428,0.2,54428,5.7,21.7,18.5,51.8,0.163,0.6,0.5,0.1,1.7,0.026000000000000002,87.2,2.0,2.6,83.5,17.7,4376,22.7,26192,72.1,12.3,99300,22260,2.42,21572,39077,17.9,1226,19820,6.2,3630,4757,0.0,0.0,0.0,0.0,0.0,22.8,2083166,351388,821284,15040,61935,143,592.62,91.8,0.0828718776040068,1033,34.7117567,-87.89424509999998
1035,6543,0.0,1035,7013,1035,1,1035,12670,13228,-4.2,13228,5.5,21.4,20.4,51.9,0.462,0.4,0.1,0.0,1.2,0.018000000000000002,96.9,0.6,2.2,77.3,8.8,1101,27.2,7055,79.1,7.2,69600,4994,2.61,15605,24658,32.7,194,2197,-1.5,756,980,0.0,0.0,0.0,0.0,0.0,23.0,183544,76736,71232,5430,8667,3,850.16,15.6,0.0319641091861909,1035,31.501571000000002,-86.9824288
1037,5223,0.0,1037,5243,1037,1,1037,10886,11758,-7.4,11539,4.8,18.3,18.5,49.5,0.318,0.6,0.2,0.2,1.2,0.023,87.2,1.8,3.3,75.0,9.8,934,30.2,6458,83.0,3.0,75100,4506,2.42,18493,37277,20.9,93,992,3.9,367,545,0.0,0.0,0.0,0.0,0.0,0.0,89585,31647,20531,1904,575,0,650.93,17.7,0.0688398696050483,1037,32.8897772,-86.21969370000001
1039,15818,0.0,1039,15415,1039,1,1039,37914,37765,0.4,37765,5.9,22.1,19.8,51.6,0.13,0.6,0.5,0.0,1.6,0.016,86.7,1.4,2.1,78.4,14.2,3433,23.3,18778,75.1,6.0,88800,15041,2.48,20391,35869,20.0,834,10824,0.7,2201,2957,0.0,0.0,0.0,0.0,0.0,0.0,561168,338692,424873,11544,30271,8,1030.46,36.6,0.0478195966304518,1039,31.306643800000003,-86.49965460000001
1041,6252,0.0,1041,6411,1041,1,1041,13977,13906,0.5,13906,6.1,22.7,18.0,51.1,0.24,0.5,1.8,0.1,1.6,0.017,86.3,2.3,3.2,76.7,12.7,1098,30.3,6708,69.9,8.0,70800,5601,2.46,21343,36275,19.1,211,3139,1.0,811,1027,25.8,0.0,0.0,0.0,0.0,30.2,270809,131874,75456,5491,5640,2,608.84,22.8,0.0467513849007718,1041,31.667187199999997,-86.3376761
1043,37278,0.0,1043,33178,1043,1,1043,81289,80410,1.1,80406,5.9,22.5,17.6,50.5,0.013999999999999999,0.6,0.5,0.0,1.2,0.044000000000000004,87.0,3.0,4.6,79.8,14.8,6167,26.4,37131,75.0,8.2,106100,31342,2.53,20760,38847,18.8,1714,22185,3.6,5549,7873,1.1,0.0,1.1,0.0,0.0,23.9,1393437,0,867058,10757,102291,77,734.84,109.4,0.0362821538648551,1043,34.2011537,-86.8220341
1045,18617,0.0,1045,18551,1045,1,1045,49484,50251,-1.5,50251,6.3,23.6,15.4,50.5,0.19699999999999998,0.8,1.3,0.1,2.8,0.061,78.4,3.7,6.3,84.1,17.0,6730,20.9,22832,61.1,13.6,99400,19345,2.52,22685,44889,17.4,766,11924,-1.6,2444,2951,0.0,0.0,0.0,0.0,0.0,0.0,114991,69341,332503,6889,37229,17,561.15,89.6,0.0347196411488984,1045,31.4645298,-85.684578
1049,26086,0.0,1049,23842,1049,1,1049,71065,71115,-0.1,71109,6.2,24.7,15.7,50.7,0.021,2.1,0.4,0.7,2.2,0.142,90.9,7.5,11.2,70.6,10.7,4371,23.3,31035,76.3,6.7,93400,24923,2.82,18149,37851,19.9,1082,16841,3.9,4679,5908,0.0,0.8,0.6,0.0,0.0,25.8,1831626,0,635185,9303,67915,31,777.09,91.5,0.0666681371136335,1049,33.7956441,-84.2278796
1051,36905,0.0,1051,35440,1051,1,1051,80977,79296,2.1,79303,5.9,23.0,14.0,51.5,0.212,0.4,0.7,0.1,1.6,0.027000000000000003,85.4,2.1,3.6,86.6,21.0,8364,28.2,33326,75.5,8.1,144600,28324,2.62,23856,54766,13.4,1135,14056,-2.3,4850,6513,9.1,0.0,0.0,0.0,0.0,28.3,766344,104885,618313,7982,47884,259,618.49,128.2,0.00845434161838876,1051,43.1154284,-115.52644579999999
1053,15213,0.0,1053,14832,1053,1,1053,37733,38319,-1.5,38319,6.1,22.0,16.7,48.8,0.324,3.4,0.3,0.1,1.7,0.021,93.4,0.6,1.4,76.2,11.7,2995,23.5,16402,72.5,9.0,84100,13681,2.59,16540,30687,25.4,723,9977,1.0,2111,2765,9.0,3.2,0.0,0.0,0.0,21.3,665336,93125,379587,10089,31909,26,945.08,40.5,0.051341274825205986,1053,30.6389408,-87.3413599
1055,43474,0.0,1055,42490,1055,1,1055,103531,104427,-0.9,104430,5.7,22.1,17.3,51.6,0.155,0.5,0.8,0.3,1.6,0.037000000000000005,85.0,2.2,3.1,81.8,14.8,8638,23.9,47505,72.4,12.1,100000,40217,2.55,20204,38013,19.0,2008,29796,-0.5,6988,9147,6.1,0.0,0.0,0.0,0.6,25.7,1252962,518424,1114841,10801,137966,79,534.99,195.2,0.0541943351917068,1055,34.045534100000005,-86.05296039999998
1057,8196,0.0,1057,7912,1057,1,1057,16874,17241,-2.1,17241,5.4,21.7,19.6,50.5,0.11900000000000001,0.4,0.3,0.0,1.1,0.013999999999999999,87.8,0.6,0.8,74.9,13.2,1221,27.5,8404,74.9,8.7,71400,6956,2.41,18494,33838,19.9,306,3323,-3.8,1073,1378,5.1,0.0,0.0,0.0,0.0,24.3,186247,22463,130362,7433,10869,0,627.66,27.5,0.0554429618926789,1057,33.4502206,-84.4802606
1059,11955,0.0,1059,10859,1059,1,1059,31601,31709,-0.3,31704,6.6,24.3,15.9,50.3,0.046,1.5,0.4,0.2,1.5,0.161,86.4,8.4,13.2,72.5,11.0,1860,26.2,14048,69.5,12.0,82300,12437,2.52,18888,36415,21.9,510,9369,-8.0,1863,2357,0.0,0.0,0.0,0.0,0.0,23.2,671954,67398,269096,8786,25389,13,633.82,50.0,0.0949612632847593,1059,40.015474499999996,-82.99316069999998
1061,11659,0.0,1061,11318,1061,1,1061,26712,26790,-0.3,26790,5.8,22.2,19.2,50.8,0.09699999999999999,1.0,0.4,0.1,1.7,0.036000000000000004,82.7,1.8,3.0,77.2,10.4,2336,25.6,12646,72.1,5.6,78100,10945,2.43,20199,35625,21.2,400,3791,2.8,1584,1736,0.0,0.0,0.0,0.0,0.0,0.0,153342,231687,170044,6612,10402,8,574.41,46.6,0.0443971782168741,1061,31.0990456,-85.684578
1063,4862,1.0,1063,5328,1063,1,1063,8553,9045,-5.4,9045,5.9,23.3,17.9,52.5,0.805,0.2,0.2,0.0,0.6,0.01,92.4,0.2,1.4,76.2,12.8,502,28.0,4988,73.2,8.9,72700,3264,2.72,14930,24226,32.9,99,1379,16.3,506,657,60.3,0.0,0.0,0.0,0.0,36.1,0,0,33639,3697,1226,4,647.11,14.0,0.0223945922475334,1063,39.697399,-83.88970570000001
1065,8010,1.0,1065,8628,1065,1,1065,15184,15760,-3.7,15760,6.2,23.3,17.3,52.8,0.581,0.2,0.3,0.0,0.6,0.013000000000000001,90.6,1.2,2.7,77.4,12.8,995,27.1,7639,78.0,6.1,79900,5969,2.56,18812,30051,26.6,195,1966,0.2,762,882,0.0,0.0,0.0,0.0,0.0,0.0,0,0,86735,4794,3136,8,643.94,24.5,0.0245399960758371,1065,34.1064941,-101.8891721
1067,8017,0.0,1067,8700,1067,1,1067,17190,17302,-0.6,17302,5.5,21.2,20.8,51.8,0.273,0.3,0.7,0.0,1.2,0.026000000000000002,91.9,2.9,5.0,80.1,16.6,1497,26.0,8961,77.7,4.6,97000,7001,2.44,21924,41650,14.4,293,2754,-2.4,1034,1091,0.0,0.0,0.0,0.0,0.0,18.2,425821,0,92574,5559,7415,17,561.75,30.8,0.0571316842514256,1067,33.4347963,-84.14351359999998
1069,42030,0.0,1069,41843,1069,1,1069,104193,101547,2.6,101547,6.2,23.7,16.1,52.1,0.267,0.5,0.9,0.1,1.8,0.033,86.3,2.4,4.4,83.9,19.7,9254,20.8,46442,64.6,14.6,122300,39250,2.58,23316,40948,18.0,2702,43139,0.5,6819,10151,12.1,0.0,1.4,0.0,1.3,25.5,1310677,0,1909615,19608,177224,311,579.82,175.1,0.0290849416489971,1069,32.421965500000006,-83.63484299999998
1071,20785,0.0,1071,20555,1071,1,1071,52665,53226,-1.1,53227,5.4,21.7,18.6,50.7,0.036000000000000004,1.6,0.5,0.1,2.6,0.028999999999999998,91.2,2.2,3.4,74.6,13.0,4000,26.4,24755,75.2,6.9,93400,20765,2.53,20486,37634,16.0,856,12440,4.2,3098,4337,0.0,4.3,0.0,0.0,0.0,26.8,1525396,0,410988,7784,39315,39,1077.87,49.4,0.09909190050667,1071,38.9914998,-94.315422
1073,290111,1.0,1073,303424,1073,1,1073,660793,658350,0.4,658466,6.6,23.1,14.3,52.8,0.429,0.3,1.6,0.1,1.1,0.038,83.8,4.1,5.9,87.4,30.0,46613,23.4,305040,64.7,24.2,140800,259634,2.48,26906,45429,18.0,16232,319199,2.0,44987,55470,23.4,0.4,2.4,0.0,1.3,29.8,10260950,13756797,11066328,16730,1268154,2280,1111.28,592.5,-0.0158366206637724,1073,39.5800298,-105.26629309999998
1075,6931,0.0,1075,7159,1075,1,1075,14086,14564,-3.3,14564,5.0,21.7,20.5,51.2,0.113,0.2,0.1,0.0,1.4,0.013999999999999999,87.8,0.6,1.0,76.1,9.5,1127,25.7,7326,71.5,9.0,66800,6084,2.32,19026,36028,22.3,241,2943,4.6,932,1340,0.0,0.0,0.0,0.0,0.0,25.8,234908,0,70780,4887,6008,0,604.85,24.1,0.0778628296011193,1075,33.75694,-95.64579509999999
1077,38813,0.0,1077,36908,1077,1,1077,93096,92709,0.4,92709,5.2,20.5,18.2,52.1,0.10400000000000001,0.5,0.9,0.1,1.5,0.024,86.1,2.1,3.0,83.8,21.1,7000,24.5,44353,69.9,15.4,114300,38458,2.36,23510,42844,17.2,1967,25839,3.4,6576,8317,5.5,0.0,0.8,0.0,0.0,27.6,1083658,514555,1131585,12783,136587,54,667.7,138.8,0.0669698922437834,1077,34.8840876,-87.658113
1079,14623,0.0,1079,14079,1079,1,1079,33477,34339,-2.5,34339,5.3,21.7,16.8,51.3,0.114,5.8,0.2,0.0,4.4,0.022000000000000002,90.5,1.0,1.9,77.1,11.9,1891,27.8,15171,80.1,5.9,94200,13382,2.52,20181,38551,17.5,407,4232,-6.3,1990,2289,0.0,0.0,0.0,0.0,1.1,0.0,0,23787,166958,4889,22719,0,690.68,49.7,0.10496141008162199,1079,40.957855,-80.365865
1081,57668,0.0,1081,54115,1081,1,1081,154255,140296,9.9,140247,5.8,21.6,10.3,50.7,0.237,0.4,3.3,0.1,1.5,0.039,76.4,5.1,6.9,86.7,32.5,10045,21.4,65566,61.7,23.8,146900,55864,2.49,23506,43542,22.0,2500,38782,3.4,9361,10319,16.2,0.0,2.0,0.4,0.0,28.2,0,0,1451634,11099,201205,943,607.54,230.8,0.00266910911141838,1081,26.6630286,-81.9534815
1083,39400,0.0,1083,35406,1083,1,1083,90787,82782,9.7,82782,5.9,23.4,13.8,49.7,0.135,0.8,1.4,0.2,2.1,0.057999999999999996,88.1,4.3,6.4,81.5,22.7,6964,26.3,35445,76.6,8.9,134500,31794,2.56,25020,48619,14.7,1308,15305,1.3,5417,5914,4.8,1.1,0.8,0.0,1.3,25.8,947299,248292,723200,9785,68140,140,559.94,147.8,0.0180504723883158,1083,34.78000720000001,-86.9423801
1085,6676,1.0,1085,7519,1085,1,1085,10580,11299,-6.4,11299,6.7,23.1,17.4,52.3,0.7290000000000001,0.3,0.2,0.0,0.8,0.012,90.4,0.2,0.7,73.9,14.4,626,30.4,5089,74.9,9.5,71400,4212,2.61,18368,26230,26.7,98,1835,-1.3,685,682,57.3,0.0,0.0,0.0,0.0,35.2,1156888,0,103636,8184,595,5,715.91,15.8,0.029007102518237998,1085,30.8600022,-83.29340859999999
1087,8748,1.0,1087,10385,1087,1,1087,19425,21450,-9.4,21452,4.7,18.3,16.8,54.2,0.815,0.2,0.3,0.0,1.4,0.015,83.8,1.1,4.2,80.0,19.6,1662,23.1,10217,65.7,15.5,75700,8107,2.29,16826,30724,27.3,217,5381,3.2,1166,1584,66.7,0.0,0.0,0.0,0.0,0.0,0,0,87509,3932,19354,1,608.89,35.2,0.0320517198070887,1087,35.1197519,-83.33618799999998
1089,159473,0.0,1089,154632,1089,1,1089,350299,334811,4.6,334811,5.8,22.4,13.7,51.2,0.24600000000000002,0.8,2.6,0.1,2.5,0.047,84.7,5.4,7.1,90.0,38.5,34203,21.0,154452,69.3,21.4,164500,132975,2.5,31933,58434,12.8,8095,153304,0.8,22681,26467,12.3,1.4,3.5,0.0,1.3,29.2,8650700,2970410,4438653,14145,596324,2677,801.59,417.7,-0.0270820133073879,1089,38.9041402,-89.9253233
1091,10948,1.0,1091,11509,1091,1,1091,20110,21029,-4.4,21027,6.0,23.0,18.6,53.2,0.51,0.3,0.3,0.2,0.8,0.024,87.4,0.7,1.2,83.7,17.4,1462,22.4,10207,71.3,9.1,89600,8464,2.42,22072,35079,24.0,478,5876,1.8,1019,1604,0.0,0.0,0.0,0.0,0.0,21.4,542135,64589,197221,9274,16684,0,976.88,21.5,0.0148309532534355,1091,32.2459085,-87.77633329999998
1093,12912,0.0,1093,12104,1093,1,1093,30271,30777,-1.6,30776,5.4,21.2,20.1,50.4,0.042,0.3,0.3,0.1,1.2,0.025,86.6,1.0,2.5,74.6,9.5,2287,24.0,14704,75.9,9.6,78700,12700,2.34,19576,32888,20.9,547,8006,5.0,1828,2224,0.0,0.0,0.0,0.0,0.0,0.0,794483,162519,209924,7116,19081,0,742.29,41.5,0.0720063149523624,1093,44.8446393,-122.59274109999998
1095,34965,0.0,1095,32455,1095,1,1095,94636,93019,1.7,93019,6.6,24.5,16.3,50.9,0.027000000000000003,1.1,0.7,0.3,1.6,0.129,86.1,8.0,11.5,76.2,15.2,7192,23.9,40328,71.9,9.5,114000,34250,2.7,20382,39526,19.5,1795,30306,0.1,6781,8700,0.0,0.0,0.9,0.0,1.0,24.9,3029491,1138701,1357696,15434,103539,28,565.84,164.4,0.0411223645239975,1095,34.3652297,-86.3376761
1097,163387,0.0,1097,174189,1097,1,1097,415123,413143,0.5,412992,6.7,24.0,14.5,52.2,0.353,1.0,2.0,0.1,1.5,0.027999999999999997,85.8,3.2,5.0,83.9,20.7,33586,23.9,181611,66.6,17.4,124300,155178,2.6,22501,43028,19.8,8567,147574,-0.4,29500,34836,18.8,0.0,2.4,0.0,1.2,29.5,12407151,3268730,5225494,12895,562436,746,1229.44,335.9,0.0145992697214161,1097,30.608222700000002,-88.24611829999998
1099,10185,0.0,1099,10680,1099,1,1099,21947,23070,-4.9,23068,5.5,23.4,17.9,52.6,0.41100000000000003,1.3,0.4,0.0,1.6,0.012,91.8,0.9,1.3,76.1,10.6,1237,23.3,11274,74.0,6.8,76900,8333,2.71,15749,29203,28.6,393,5029,-1.8,1265,2257,23.6,0.0,0.0,0.0,0.0,24.5,1251911,92815,212618,9342,14796,0,1025.68,22.5,0.0301007209324132,1099,43.284124600000006,-77.74520809999999
1101,94572,1.0,1101,101781,1101,1,1101,226189,229363,-1.4,229363,6.8,24.0,13.3,52.6,0.5670000000000001,0.3,2.6,0.1,1.3,0.034,78.1,4.3,5.7,85.6,31.5,20008,19.3,103434,61.4,22.4,122900,88844,2.49,24975,44790,21.2,5533,101517,1.2,15129,21463,35.6,0.7,2.4,0.0,1.3,30.9,7956627,3275567,3238175,14351,402861,734,784.25,292.5,-0.0173779857031013,1101,39.154742600000006,-77.2405153
1103,49991,0.0,1103,49198,1103,1,1103,119607,119486,0.1,119490,6.0,23.1,15.9,50.8,0.125,1.1,0.7,0.1,2.0,0.079,86.4,5.1,8.0,81.4,19.9,9518,23.7,51496,71.5,15.1,120500,46192,2.55,23764,44800,15.7,2589,42569,2.0,7506,10034,5.9,1.8,1.0,0.0,0.0,21.3,0,1213925,1637628,14222,154700,136,579.34,206.3,0.0302828593459192,1103,41.0576176,-111.61837549999998
1105,5255,1.0,1105,6065,1105,1,1105,9826,10581,-7.1,10591,5.5,22.4,17.9,53.4,0.675,0.2,0.4,0.1,0.7,0.013000000000000001,92.2,0.5,0.8,70.2,10.4,670,26.8,4691,67.0,11.0,58000,3400,2.84,13716,28209,25.6,125,1570,4.0,488,854,55.7,0.0,0.0,0.0,0.0,41.3,0,10360,34121,3181,2632,0,719.66,14.7,0.0190036105840392,1105,39.76413529999999,-82.25832969999998
1107,9494,0.0,1107,9599,1107,1,1107,20365,19746,3.1,19746,5.2,20.5,17.8,50.6,0.402,0.2,0.3,0.4,0.9,0.040999999999999995,91.9,0.3,2.6,79.7,11.0,1610,29.3,9441,72.0,10.7,81900,7926,2.42,17153,28741,27.2,266,2707,-1.2,1073,1268,0.0,0.0,0.0,0.0,0.0,10.0,107619,36581,113222,5805,6302,3,881.41,22.4,0.0411833679483458,1107,34.9046217,-82.6483442
1109,13025,0.0,1109,14057,1109,1,1109,33389,32899,1.5,32899,5.7,19.4,14.1,51.9,0.369,0.7,2.2,0.1,1.6,0.022000000000000002,79.3,4.0,5.8,81.0,23.0,2516,18.7,15807,57.8,18.5,101000,12959,2.4,19715,33090,27.6,628,11009,1.4,1970,2527,0.0,0.0,0.0,0.0,0.0,0.0,0,0,367926,12189,45692,44,672.09,48.9,0.024940092415074,1109,41.3361875,-75.06111469999998
1111,10130,0.0,1111,10391,1111,1,1111,22539,22914,-1.6,22913,5.7,22.0,19.6,51.4,0.20199999999999999,0.5,0.3,0.1,1.4,0.028999999999999998,87.9,1.7,3.4,72.6,11.1,1598,26.8,11928,72.3,5.7,88600,9013,2.48,19830,35213,24.5,340,3481,0.0,1388,1550,7.1,0.0,0.0,0.0,0.0,0.0,401677,26751,161410,7209,9241,0,580.55,39.5,0.0650864808875249,1111,35.744953100000004,-79.82967430000001
1113,19136,1.0,1113,18871,1113,1,1113,59608,52949,12.6,52947,7.6,25.3,12.5,51.3,0.429,0.6,0.8,0.2,2.4,0.05,81.7,2.2,5.0,80.4,16.0,5977,23.6,26787,61.3,19.8,104400,21142,2.6,19678,36143,22.0,783,10489,-1.9,3523,3823,33.9,0.0,0.0,0.0,1.0,32.4,0,0,428236,8526,56392,244,641.14,82.6,0.0427352907320588,1113,32.355249699999995,-85.18940450000001
1117,99208,0.0,1117,92204,1117,1,1117,206655,195218,5.9,195085,6.0,24.4,13.0,51.2,0.121,0.4,2.2,0.0,1.3,0.06,86.6,6.0,8.3,91.2,40.3,13991,29.0,83498,79.0,12.1,193000,74144,2.64,33313,68770,7.9,4845,76137,2.1,15634,18393,5.7,0.6,0.0,0.0,2.0,30.5,1723017,4385596,2520488,13737,301893,896,784.93,248.5,-0.0383916677523843,1117,35.1268552,-89.9253233
1115,37937,0.0,1115,35105,1115,1,1115,86697,83593,3.7,83593,6.1,23.0,15.3,50.1,0.095,0.4,0.8,0.1,1.3,0.023,86.8,1.8,2.5,82.0,15.5,6928,30.0,35844,81.5,5.1,134600,31353,2.63,23872,50786,15.2,1266,15265,1.0,5172,6061,2.4,1.0,1.4,0.0,0.0,28.1,985409,317458,581324,7404,70254,80,631.9,132.3,0.00628472281444936,1115,43.016179,-82.6483442
1119,6391,1.0,1119,7025,1119,1,1119,13166,13763,-4.3,13763,4.8,19.7,16.3,55.0,0.735,0.1,0.4,0.0,0.5,0.011000000000000001,87.9,0.9,1.9,75.5,14.9,706,23.4,6748,64.7,16.3,74100,5060,2.57,14156,22186,38.0,202,2966,8.1,823,730,57.5,0.0,0.0,0.0,0.0,0.0,0,76499,59636,4494,8199,3,903.89,15.2,0.0217563510964874,1119,28.6747526,-82.08429009999998
